Year	mil0021	mil0025	mil0026
800	281.78207	279.9454	280.7728
801	281.42374	280.79825	279.89127
802	280.24139	281.8212	280.40826
803	280.07611	281.10416	281.06454
804	281.19556	280.9057	281.42538
805	281.21841	281.4816	281.79575
806	279.68338	281.15338	281.99197
807	281.06268	280.63882	281.9772
808	280.96533	281.24646	281.67764
809	280.40237	282.16525	281.86765
810	281.74548	281.35663	281.72189
811	282.33939	280.05344	282.29013
812	281.1514	281.5213	281.78958
813	280.55002	281.48984	281.78061
814	281.32556	280.59979	282.34619
815	281.01236	280.66336	281.89594
816	280.51144	281.4325	280.43259
817	281.42844	281.26456	281.03
818	282.44012	279.91907	281.12662
819	280.86404	281.09818	279.64359
820	279.85294	281.17245	279.37036
821	280.4039	280.0155	280.78726
822	281.14023	280.31076	281.34708
823	280.70926	282.33649	281.15009
824	280.96826	281.60098	280.95807
825	281.3876	280.09094	280.25433
826	282.52744	280.66025	280.509
827	281.03891	280.76047	281.35861
828	279.41071	280.60181	281.05533
829	280.85342	281.67496	280.48276
830	281.285	281.18378	281.81482
831	280.12234	281.2709	280.67456
832	281.01437	282.13034	279.92996
833	281.16989	282.45462	281.3125
834	279.99078	281.38922	281.25266
835	280.35709	280.64789	279.84299
836	280.70926	281.186	280.10776
837	279.86594	281.12381	281.54971
838	280.85623	280.76245	280.98813
839	281.06662	281.50037	279.79169
840	279.34164	281.27142	281.04288
841	280.78976	280.33215	280.47858
842	281.23288	280.04123	279.86526
843	280.03827	280.21341	280.423
844	278.77734	281.00064	280.75879
845	280.11938	280.70944	279.75058
846	280.44995	279.90683	280.54266
847	279.36285	280.55045	280.84518
848	279.75626	280.11798	279.38168
849	280.18661	278.96674	279.66751
850	279.70059	279.3475	280.26462
851	280.7536	280.44376	279.60251
852	280.90762	280.68024	279.83517
853	279.74408	280.86948	281.2421
854	279.89755	280.29791	280.76892
855	281.19083	281.19785	280.40359
856	280.05563	281.17468	280.91397
857	279.37375	279.86368	280.4834
858	280.06223	279.75912	279.33383
859	279.73917	280.61075	280.32761
