year,tmean,dd_sum,growing_weeks,annual_growth_m_per_yr,tth_years,vulnerable_year
2015,2.4724881868131914,1019.707500000001,23,0.22115364011833327,6.782615014599764,False
2016,3.164998946886451,1153.810000000001,22,0.2502377216063764,5.9943001014031685,False
2017,2.7974948787061997,1161.3551000000002,21,0.25187409902838875,5.955356290250927,False
2018,0.24963714285714492,910.4948000000009,20,0.19746764570115824,7.596181109436308,False
2019,2.3697002695417773,1180.7753999999998,24,0.25608596374174036,5.857408106571324,False
2020,1.735046336996338,882.5821999999998,22,0.1914139753151238,7.836418409526044,False
2021,1.9224972527472497,1152.7138999999993,23,0.25,6.0,False
2022,1.5858576819407029,979.5840000000003,22,0.21245167599696702,7.060429120932961,False
2023,0.6759730458221034,1011.0142999999998,21,0.21926826335658842,6.840935286474184,False
2024,3.6946209523809515,1136.027,25,0.24638095367809842,6.08813294050229,False
2025,2.4860768194070086,1072.5524000000003,22,0.23261461495345917,6.4484340345515925,False
2026,1.337617582417585,1252.5145000000007,22,0.27164470299178345,5.521918828085417,False
2027,3.7282318681318674,1280.8809999999999,22,0.27779681497724645,5.399629942203839,False
2028,1.8184829739443007,1202.057100000002,24,0.2607015279333412,5.753706209130984,False
2029,2.2115414285714285,1344.2579000000007,24,0.29154196457594583,5.145056912070215,False
2030,2.786827223719676,1085.2298999999998,25,0.23536410465771265,6.373104353280349,False
2031,2.2284366576819417,1182.9511000000007,20,0.256557828442947,5.846635080689296,False
2032,2.3236746336996346,1104.8645,21,0.2396224466452605,6.259847610272568,False
2033,2.5489239010989,1254.6802,24,0.27211439889811356,5.512387459370122,False
2034,2.355407277628035,1244.8397999999995,26,0.2699802179881756,5.555962622660361,False
2035,3.0819540259740226,1142.0720999999987,24,0.24769201186868645,6.055907853803629,False
2036,4.234277807726867,1138.189200000001,25,0.24684989050622225,6.076567410760873,False
2037,3.610095604395604,1107.2475000000002,23,0.24013927046424982,6.246375268402046,False
2038,4.0564434065934085,1391.733600000001,25,0.3018384700661634,4.969545464735486,False
2039,2.9790792452830184,1126.9863,23,0.24442021129440722,6.1369720288525205,False
2040,3.2126196103896114,1384.5818000000002,24,0.30028739134663013,4.995214728375019,False
2041,3.230531536388138,1263.8274999999992,24,0.2740982606351845,5.472490035230282,False
2042,3.2385369272237217,1243.8996000000009,24,0.2697763078939192,5.560162090252293,False
2043,3.613660714285712,1132.1524999999992,24,0.24554065410332954,6.108968005635283,False
2044,2.538213919413918,1097.2597999999998,24,0.23797314320578603,6.303232288287602,False
2045,3.481776010781678,1155.7690000000018,22,0.25066258852261664,5.984139910310784,False
2046,2.680534545454549,1353.561400000001,25,0.29355970288898264,5.109693139890064,False
2047,2.0060291105121277,1049.8962000000004,23,0.22770094990613043,6.587587801536945,False
2048,3.2683754578754542,1287.762999999999,25,0.2792893796110205,5.370773504130808,False
2049,3.3473299450549456,1121.1865,22,0.24316235364213112,6.168718050030031,False
2050,2.677065498652289,1045.2403999999988,22,0.2266912023876869,6.616930803669666,False
2051,2.6699288409703525,1076.6235000000006,22,0.2334975530354933,6.424050190247558,False
2052,2.661143073593074,1403.1907000000003,22,0.3043232800437301,4.928968956250918,False
2053,4.431893530997307,1357.384800000001,27,0.29438891992193417,5.0953004630669145,False
2054,3.787197252747254,1336.9862000000003,23,0.28996488200584747,5.173040230332965,False
2055,3.8440530219780182,1205.607499999999,26,0.26147153686617286,5.736762088822442,False
2056,3.9757324797843667,1382.5419000000002,25,0.29984497887984196,5.002585021112195,False
2057,3.746597922077922,1306.1763000000005,25,0.2832828466803431,5.295061164407892,False
2058,3.6201520215633405,1207.897599999999,24,0.26196821258076264,5.725885538641687,False
2059,3.663501617250675,1282.7239000000004,24,0.2781965021849743,5.391872249359347,False
2060,4.928968635531135,1309.2549999999999,24,0.2839505535588667,5.2826098811919735,False
2061,3.244027472527471,1371.8939999999996,23,0.2975356677836539,5.04141238317246,False
2062,2.987737735849055,1191.8176999999996,24,0.258480812107844,5.803138684716629,False
2063,2.515299740259742,1070.044000000001,21,0.232070594446723,6.46355047082175,False
2064,2.68171248876909,1078.3738999999991,21,0.23387717889061627,6.413622770358223,False
2065,4.691042307692308,1502.6870000000001,25,0.32590198660743164,4.60261078987174,False
2066,2.3320417582417603,1188.7189000000014,23,0.2578087459516195,5.818266538876422,False
2067,2.668853099730458,1222.8591000000001,23,0.2652130550347317,5.655830177000764,False
2068,3.0866968831168844,1062.5615000000003,24,0.2304477936806351,6.5090664399190015,False
2069,3.4260784366576837,1359.9043999999992,24,0.29493536947893145,5.0858600060416,False
2070,3.3967234501347745,1346.1762000000015,23,0.29195800449704007,5.137725210117359,False
2071,1.7585862637362635,1281.2070999999996,25,0.277867539378158,5.398255598177686,False
2072,2.0542973901098893,1101.8947999999996,21,0.23897837963088678,6.276718430833868,False
2073,4.434237870619948,1516.4922000000008,25,0.3288960513098701,4.560711489317249,False
2074,4.088473506493505,1330.8691,24,0.2886382084921507,5.196817177587184,False
2075,4.064036927223719,1346.8750999999997,25,0.2921095815709346,5.135059219670775,False
2076,4.51249665750916,1299.929000000001,22,0.2819279354573589,5.320508581622527,False
2077,3.421980494505495,1164.4129,23,0.25253727312562135,5.9397172600887505,False
2078,4.35696307277628,1460.8292999999992,25,0.3168239100786414,4.734491155126748,False
2079,3.2471304582210228,1220.8121999999994,24,0.26476912441153005,5.665313141529876,False
2080,2.135601038961038,1308.3502,24,0.2837543209984717,5.286263112123953,False
2081,1.821180053908354,1149.3625000000002,25,0.24927315008520345,6.017495263678774,False
2082,2.9082315934065934,1406.2039,24,0.30497678131581496,4.918407209651456,False
2083,3.666737087912087,1328.0916,25,0.2880358257152969,5.207685524100895,False
2084,1.507898158131175,1040.7707999999993,18,0.2257218378298379,6.645347275307878,False
2085,3.441585454545454,1239.1487999999995,25,0.26874595682415214,5.581479318706518,False
2086,2.6041574123989197,1314.1811,25,0.2850189236028126,5.262808451590117,False
2087,4.308139353099731,1337.9130000000005,24,0.29016588591497017,5.169456758399083,False
2088,2.021661263736264,1285.1162000000004,23,0.27871534298319844,5.3818350433991835,False
2089,2.822849175824175,1163.8794000000003,24,0.2524215679189782,5.942439912588877,False
2090,2.1938132075471724,1342.8101000000008,24,0.29122796645377524,5.150604244040159,False
