decade,median,p10,p90,vulnerable_decade,ssp
2010,5.9943001014031685,5.896587380043165,7.27075467150169,False,SSP126
2020,6.040451662963963,5.7240839976962254,7.30767636396894,False,SSP126
2030,5.951454806700873,5.49209844370905,6.208942164762023,False,SSP126
2040,5.473532352772581,5.256135563006985,6.651207011566041,False,SSP126
2050,5.9530716816534675,5.178391123187602,6.590375764416681,False,SSP126
2060,5.651668931532386,5.331515147332709,6.235456323483082,False,SSP126
2070,6.196280294792807,5.623976032155494,7.072511608292327,False,SSP126
2080,6.404544069538963,5.534324691142318,7.47867691517552,False,SSP126
2090,6.500109582792682,6.270123366112404,7.728020685562638,False,SSP126
2100,7.1936825912421725,7.1936825912421725,7.1936825912421725,False,SSP126
2010,5.9943001014031685,5.896587380043165,7.27075467150169,False,SSP245
2020,6.0440664702511455,5.374172639190477,7.138028049792268,False,SSP245
2030,6.066237632282251,5.458103259906658,6.271173284573346,False,SSP245
2040,5.772151000281538,5.09824529873856,6.331667839612536,False,SSP245
2050,5.3434667068836195,4.995223414626068,6.443338251589769,False,SSP245
2060,5.7294844308586965,4.997532223842388,6.468102067731476,False,SSP245
2070,5.258662879604856,4.717113188545798,5.973417377163262,False,SSP245
2080,5.334049077761568,5.14435180352432,6.080280464841684,False,SSP245
2090,5.492861498170585,5.109590349001731,6.5448374780902725,False,SSP245
2100,5.075866191969814,5.075866191969814,5.075866191969814,False,SSP245
2010,5.9943001014031685,5.896587380043165,7.27075467150169,False,SSP370
2020,6.3239165922722265,5.506018094879884,7.8456053841751565,False,SSP370
2030,6.119891705695888,5.433431386477736,6.514023422698116,False,SSP370
2040,5.75465003581255,5.36412302396936,6.170024687743622,False,SSP370
2050,5.4405021246708145,5.18755635184033,6.059546534399634,False,SSP370
2060,5.1278417781282695,4.8123826968344705,5.521559146591585,False,SSP370
2070,5.066202291893262,4.486876842584377,5.4740973048167705,False,SSP370
2080,4.863928502015353,4.526030306081229,5.197049333518907,False,SSP370
2090,4.953400078815428,4.646407447627064,5.091827658714713,False,SSP370
2100,4.336015521747806,4.336015521747806,4.336015521747806,False,SSP370
2010,5.9943001014031685,5.896587380043165,7.27075467150169,False,SSP585
2020,5.954650676841708,5.2553689597076865,7.075344429588395,False,SSP585
2030,5.763612179686884,4.869016135591003,6.0982094812821,False,SSP585
2040,4.972015905053075,4.640552507814801,5.218618960002238,False,SSP585
2050,5.141303555914602,4.738229138705017,5.518579266114819,False,SSP585
2060,5.016133885370808,4.459866975198787,5.673703241403204,False,SSP585
2070,4.731135031143234,4.5708550100608365,5.215733588860016,False,SSP585
2080,4.877671159910953,3.8529465568881336,5.194743420381616,False,SSP585
2090,4.628290850642367,4.446760117657697,4.785406111477915,False,SSP585
2100,4.743265761025321,4.743265761025321,4.743265761025321,False,SSP585
